Date,Open,High,Low,Close,Adj Close,Volume
2001-03-21,271.25,271.25,269.75,269.75,269.75,58
2001-03-22,267.0,268.0,266.0,267.5,267.5,196
2001-03-23,260.25,261.75,260.25,261.5,261.5,70
2001-03-26,263.25,265.0,263.25,264.5,264.5,178
2001-03-27,268.0,269.5,267.25,269.25,269.25,50
2001-03-28,266.75,269.0,266.5,269.0,269.0,101
2001-03-29,266.0,266.0,263.75,265.0,265.0,22
2001-04-02,260.0,260.5,259.0,260.5,260.5,29
2001-04-04,262.25,263.25,262.25,263.25,263.25,60
2001-04-05,266.5,268.0,266.25,267.5,267.5,16
2001-04-06,266.0,266.75,265.5,266.75,266.75,25
2001-04-09,262.5,264.5,262.5,264.0,264.0,64
2001-04-10,261.5,263.0,261.5,261.75,261.75,160
2001-04-11,257.75,257.75,256.5,257.0,257.0,89
2001-04-12,261.25,263.0,261.25,263.0,263.0,87
2001-04-16,267.25,270.5,267.25,270.5,270.5,55
2001-04-17,269.5,270.5,268.0,269.5,269.5,45
2001-04-18,265.75,267.5,265.5,265.75,265.75,43
2001-04-19,269.0,269.5,268.0,269.5,269.5,10
2001-04-20,267.0,267.75,267.0,267.75,267.75,66
2001-04-23,267.25,268.25,267.25,268.0,268.0,6
2001-04-24,263.75,265.25,263.75,264.75,264.75,25
2001-04-25,264.5,265.0,264.5,265.0,265.0,6
2001-04-26,268.25,270.25,268.25,270.25,270.25,42
2001-04-27,270.25,270.5,268.75,268.75,268.75,45
2001-04-30,265.25,268.75,265.25,265.75,265.75,15
2001-05-01,273.5,275.5,273.5,275.5,275.5,15
2001-05-02,273.5,275.5,273.5,271.0,271.0,15
2001-05-03,268.25,268.25,268.25,268.25,268.25,15
2001-05-04,263.0,263.0,263.0,263.0,263.0,15
2001-05-07,263.0,263.0,263.0,263.0,263.0,15
2001-05-09,257.75,257.75,257.75,257.75,257.75,3
2001-05-10,256.5,256.5,256.5,256.5,256.5,3
2001-05-11,256.5,256.5,256.5,260.0,260.0,3
2001-05-14,256.5,256.5,256.5,260.0,260.0,401
2001-05-15,279.25,281.75,279.0,279.5,279.5,203
2001-05-16,277.0,277.5,276.5,277.0,277.0,121
2001-05-17,275.75,275.75,274.75,275.0,275.0,102
2001-05-18,276.0,277.0,275.0,275.5,275.5,169
2001-05-21,270.75,270.75,269.0,269.75,269.75,293
2001-05-22,264.5,265.0,263.0,263.0,263.0,87
2001-05-23,260.0,262.0,260.0,262.0,262.0,72
2001-05-24,260.5,261.75,260.5,261.75,261.75,34
2001-05-25,261.75,262.5,261.75,262.5,262.5,272
2001-05-29,260.5,262.25,260.25,260.5,260.5,149
2001-05-30,265.75,267.5,265.75,267.5,267.5,277
2001-05-31,264.25,264.75,264.0,264.75,264.75,149
2001-06-01,266.75,269.0,266.75,269.0,269.0,227
2001-06-04,269.5,269.75,265.0,269.5,269.5,195
2001-06-05,263.0,263.5,263.0,263.5,263.5,93
2001-06-06,260.0,260.5,259.5,259.5,259.5,153
2001-06-07,262.0,263.5,262.0,262.75,262.75,63
2001-06-08,264.25,265.0,263.25,265.0,265.0,119
2001-06-12,261.5,261.75,260.5,260.5,260.5,94
2001-06-13,262.75,264.5,262.75,264.5,264.5,323
2001-06-14,261.75,262.0,259.25,259.25,259.25,94
2001-06-15,258.0,258.75,258.0,258.25,258.25,328
2001-06-18,256.0,256.5,255.0,256.5,256.5,279
2001-06-19,263.0,264.0,263.0,264.0,264.0,328
2001-06-20,261.0,262.0,261.0,262.0,262.0,69
2001-06-21,254.5,256.0,254.5,255.0,255.0,71
2001-06-22,255.0,256.0,254.75,254.75,254.75,62
2001-06-25,251.0,252.0,251.0,251.0,251.0,119
2001-06-26,245.25,248.0,245.0,248.0,248.0,77
2001-06-27,247.75,249.0,247.75,249.0,249.0,170
2001-06-28,247.5,249.0,247.5,249.0,249.0,116
2001-06-29,243.0,244.75,243.0,244.75,244.75,7
2001-07-02,256.0,256.0,246.25,246.25,246.25,30
2001-07-03,250.25,250.75,250.0,250.0,250.0,30
2001-07-05,250.25,250.25,250.0,253.5,253.5,30
2001-07-06,257.0,257.0,257.0,257.0,257.0,3
2001-07-09,257.75,257.75,257.75,257.75,257.75,3
2001-07-10,257.75,257.75,257.75,258.25,258.25,3
2001-07-11,262.0,262.0,262.0,262.0,262.0,18
2001-07-12,267.0,267.0,265.0,265.0,265.0,581
2001-07-13,289.75,291.75,287.0,287.75,287.75,234
2001-07-16,284.5,284.5,282.0,283.0,283.0,581
2001-07-17,282.25,292.75,282.25,290.0,290.0,234
2001-07-18,289.0,290.0,283.0,285.75,285.75,427
2001-07-19,289.0,293.25,288.25,291.0,291.0,238
2001-07-20,290.0,291.0,288.25,289.0,289.0,427
2001-07-23,279.25,283.0,279.0,281.0,281.0,246
2001-07-24,285.0,288.5,285.0,288.0,288.0,95
2001-07-25,281.5,284.75,281.5,284.75,284.75,149
2001-07-26,284.0,284.5,282.5,283.5,283.5,95
2001-07-27,279.5,281.5,279.5,281.5,281.5,137
2001-07-30,279.75,281.0,279.0,279.5,279.5,117
2001-07-31,275.0,276.0,274.5,275.0,275.0,71
2001-08-01,277.5,279.5,277.0,279.25,279.25,117
2001-08-02,274.0,277.0,274.0,276.5,276.5,71
2001-08-03,269.5,271.5,269.5,270.25,270.25,15
2001-08-06,264.75,266.5,264.5,265.0,265.0,59
2001-08-07,266.25,268.25,266.25,267.5,267.5,24
2001-08-08,268.0,269.5,268.0,269.5,269.5,69
2001-08-09,268.75,270.0,268.75,270.0,270.0,24
2001-08-10,271.0,272.25,271.0,271.5,271.5,59
2001-08-13,270.0,271.0,269.5,271.0,271.0,56
2001-08-14,272.0,272.25,270.0,270.0,270.0,87
2001-08-15,268.75,269.25,268.0,269.0,269.0,56
2001-08-16,266.75,267.0,266.25,267.0,267.0,33
2001-08-17,267.25,269.0,267.25,268.0,268.0,13
2001-08-20,265.0,265.0,263.5,264.0,264.0,27
2001-08-21,266.0,267.5,266.0,267.0,267.0,59
2001-08-22,268.0,268.5,267.5,268.5,268.5,110
2001-08-23,271.25,271.75,271.25,271.25,271.25,160
2001-08-24,275.25,276.75,275.25,276.0,276.0,110
2001-08-27,271.25,273.0,271.0,272.75,272.75,87
2001-08-28,273.5,275.25,273.5,275.25,275.25,6
2001-08-29,270.0,270.0,269.0,270.0,270.0,87
2001-08-30,274.5,274.5,274.25,274.25,274.25,1
2001-09-04,277.0,277.0,277.0,277.0,277.0,1
2001-09-05,277.0,277.0,277.0,276.5,276.5,1
2001-09-06,274.75,274.75,274.75,274.75,274.75,1
2001-09-10,271.0,271.0,271.0,271.0,271.0,1
2001-09-11,271.0,271.0,271.0,271.0,271.0,1
2001-09-12,271.0,271.0,271.0,271.0,271.0,6
2001-09-13,274.5,274.5,274.5,274.5,274.5,170
2001-09-17,271.0,272.25,269.0,272.25,272.25,129
2001-09-18,275.25,277.0,275.0,276.5,276.5,141
2001-09-19,268.0,268.75,267.0,268.0,268.0,129
2001-09-20,263.25,263.75,261.5,261.5,261.5,66
2001-09-21,265.75,267.0,265.25,266.5,266.5,122
2001-09-24,267.0,267.0,265.75,266.75,266.75,66
2001-09-25,267.0,267.5,266.0,267.25,267.25,32
2001-09-26,270.75,272.0,270.75,270.75,270.75,75
2001-09-27,276.0,277.0,275.25,276.0,276.0,88
2001-09-28,274.25,275.0,273.75,275.0,275.0,75
2001-10-01,270.75,270.75,269.75,270.5,270.5,88
2001-10-02,266.0,267.5,265.5,266.0,266.0,88
2001-10-03,264.0,264.0,262.75,263.75,263.75,104
2001-10-04,269.75,271.5,269.5,270.5,270.5,83
2001-10-05,273.0,273.5,272.5,272.5,272.5,120
2001-10-08,273.5,275.75,273.5,275.0,275.0,83
2001-10-09,272.0,272.75,271.25,272.75,272.75,38
2001-10-10,275.0,275.5,274.0,274.75,274.75,64
2001-10-11,279.0,279.5,279.0,279.25,279.25,151
2001-10-12,279.25,279.75,278.0,278.25,278.25,117
2001-10-15,275.5,276.25,274.5,274.5,274.5,36
2001-10-16,274.0,274.0,273.25,273.5,273.5,112
2001-10-17,278.5,278.5,277.25,277.25,277.25,161
